ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,04O-0,M&G 1 Year Fix,M&G,,,SER-FSDU-CFT-6F,142,0,2094
,,,,,,SER-FSDU-CFT-12F,142,13501,2094
,,,,,,SER-FSDU-CFT-24F,142,0,2094
,,,,,,SER-FSDU-CFT-48F,142,0,2094
,0B7-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,218,6874,3448
,,,,,,SER-FSDU-CFT-12F,218,4496,3448
,,,,,,SER-FSDU-CFT-24F,218,767,3448
,,,,,,SER-FSDU-CFT-48F,218,0,3448
,0BT-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,7,784,56
,,,,,,SER-FSDU-CFT-12F,7,336,56
,,,,,,SER-FSDU-CFT-24F,7,0,56
,,,,,,SER-FSDU-CFT-48F,7,367,56
,0CN-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,302,6208,2520
,,,,,,SER-FSDU-CFT-12F,302,3200,2520
,,,,,,SER-FSDU-CFT-24F,302,5746,2520
,,,,,,SER-FSDU-CFT-48F,302,0,2520
,0CX-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,136,1689,1168
,,,,,,SER-FSDU-CFT-12F,136,884,1168
,,,,,,SER-FSDU-CFT-24F,136,845,1168
,,,,,,SER-FSDU-CFT-48F,136,1424,1168
,0D3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,134,2702,2144
,,,,,,SER-FSDU-CFT-12F,134,2492,2144
,,,,,,SER-FSDU-CFT-24F,134,552,2144
,,,,,,SER-FSDU-CFT-48F,134,785,2144
,0DU-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,252,9996,1104
,,,,,,SER-FSDU-CFT-12F,252,2380,1104
,,,,,,SER-FSDU-CFT-24F,252,3636,1104
,,,,,,SER-FSDU-CFT-48F,252,0,1104
,0FS-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,122,5265,1952
,,,,,,SER-FSDU-CFT-12F,122,1499,1952
,,,,,,SER-FSDU-CFT-24F,122,1940,1952
,,,,,,SER-FSDU-CFT-48F,122,501,1952
,0ID-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,96,2055,290
,,,,,,SER-FSDU-CFT-12F,96,751,290
,,,,,,SER-FSDU-CFT-24F,96,1734,290
,,,,,,SER-FSDU-CFT-48F,96,0,290
,0JD-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,80,1991,208
,,,,,,SER-FSDU-CFT-12F,80,628,208
,,,,,,SER-FSDU-CFT-24F,80,1333,208
,,,,,,SER-FSDU-CFT-48F,80,0,208
,0MB-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,29,206,344
,,,,,,SER-FSDU-CFT-12F,29,608,344
,,,,,,SER-FSDU-CFT-24F,29,679,344
,,,,,,SER-FSDU-CFT-48F,29,0,344
,0QL-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,136,3215,920
,,,,,,SER-FSDU-CFT-12F,136,1392,920
,,,,,,SER-FSDU-CFT-24F,136,4162,920
,,,,,,SER-FSDU-CFT-48F,136,0,920
,0QR-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,197,4527,1232
,,,,,,SER-FSDU-CFT-12F,197,1320,1232
,,,,,,SER-FSDU-CFT-24F,197,3817,1232
,,,,,,SER-FSDU-CFT-48F,197,0,1232
,0SK-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,35,839,280
,,,,,,SER-FSDU-CFT-12F,35,273,280
,,,,,,SER-FSDU-CFT-24F,35,856,280
,,,,,,SER-FSDU-CFT-48F,35,0,280
,0SQ-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,332,2937,2856
,,,,,,SER-FSDU-CFT-12F,332,1730,2856
,,,,,,SER-FSDU-CFT-24F,332,631,2856
,,,,,,SER-FSDU-CFT-48F,332,0,2856
,0TI-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,60,2138,584
,,,,,,SER-FSDU-CFT-12F,60,1950,584
,,,,,,SER-FSDU-CFT-24F,60,114,584
,,,,,,SER-FSDU-CFT-48F,60,0,584
,0UL-0,TAM 1 Year Fix,TAM,,,SER-FSDU-CFT-6F,164,2434,1184
,,,,,,SER-FSDU-CFT-12F,164,446,1184
,,,,,,SER-FSDU-CFT-24F,164,2454,1184
,,,,,,SER-FSDU-CFT-48F,164,0,1184
,0YN-0,KTK 1 Year Fix,KTK,,,SER-FSDU-CFT-6F,189,2411,1512
,,,,,,SER-FSDU-CFT-12F,189,2071,1512
,,,,,,SER-FSDU-CFT-24F,189,2317,1512
,,,,,,SER-FSDU-CFT-48F,189,0,1512
,17V-0,UPW 1 Year Fix,UPW,,,SER-FSDU-CFT-6F,167,7615,2800
,,,,,,SER-FSDU-CFT-12F,167,2812,2800
